Id,LotFrontage,LotArea,Street,LotConfig,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,70,11200,Pave,Inside,Norm,Norm,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,1,TA,5,0,Detchd,1965,Unf,1,384,Y,0,0,0,0,0,0,NA,2,2008,WD,Normal,129500
12,85,11924,Pave,Inside,Norm,Norm,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,PConc,Ex,TA,No,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,1,Ex,11,2,BuiltIn,2005,Fin,3,736,Y,147,21,0,0,0,0,NA,7,2006,New,Partial,345000
13,NA,12968,Pave,Inside,Norm,Norm,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,CBlock,TA,TA,No,912,GasA,TA,Y,SBrkr,912,0,0,912,1,0,1,1,TA,4,0,Detchd,1962,Unf,1,352,Y,140,0,0,0,176,0,NA,9,2008,WD,Normal,144000
14,91,10652,Pave,Inside,Norm,Norm,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,1,Gd,7,1,Attchd,2006,RFn,3,840,Y,160,33,0,0,0,0,NA,8,2007,New,Partial,279500
15,NA,10920,Pave,Corner,Norm,Norm,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,TA,5,1,Attchd,1960,RFn,1,352,Y,0,213,176,0,0,0,GdWo,5,2008,WD,Normal,157000
16,51,6120,Pave,Corner,Norm,Norm,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,TA,TA,No,832,GasA,Ex,Y,FuseA,854,0,0,854,0,0,1,1,TA,5,0,Detchd,1991,Unf,2,576,Y,48,112,0,0,0,0,GdPrv,7,2007,WD,Normal,132000
17,NA,11241,Pave,CulDSac,Norm,Norm,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,1,TA,5,1,Attchd,1970,Fin,2,480,Y,0,0,0,0,0,0,NA,3,2010,WD,Normal,149000
18,72,10791,Pave,Inside,Norm,Norm,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,Slab,NA,NA,NA,0,GasA,TA,Y,SBrkr,1296,0,0,1296,0,0,2,2,TA,6,0,CarPort,1967,Unf,2,516,Y,0,0,0,0,0,0,NA,10,2006,WD,Normal,90000
19,66,13695,Pave,Inside,RRAe,Norm,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,PConc,TA,TA,No,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,Gd,6,0,Detchd,2004,Unf,2,576,Y,0,102,0,0,0,0,NA,6,2008,WD,Normal,159000
20,70,7560,Pave,Inside,Norm,Norm,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,CBlock,TA,TA,No,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,0,0,1,1,TA,6,0,Attchd,1958,Unf,1,294,Y,0,0,0,0,0,0,MnPrv,5,2009,COD,Abnorml,139000
21,101,14215,Pave,Corner,Norm,Norm,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Av,1158,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,Gd,9,1,BuiltIn,2005,RFn,3,853,Y,240,154,0,0,0,0,NA,11,2006,New,Partial,325300
22,57,7449,Pave,Inside,Norm,Norm,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,PConc,TA,TA,No,637,GasA,Ex,Y,FuseF,1108,0,0,1108,0,0,1,1,Gd,6,1,Attchd,1930,Unf,1,280,N,0,0,205,0,0,0,GdPrv,6,2007,WD,Normal,139400
23,75,9742,Pave,Inside,Norm,Norm,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,1777,GasA,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,1,Gd,7,1,Attchd,2002,RFn,2,534,Y,171,159,0,0,0,0,NA,9,2008,WD,Normal,230000
24,44,4224,Pave,Inside,Norm,Norm,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,PConc,Gd,TA,No,1040,GasA,TA,Y,SBrkr,1060,0,0,1060,1,0,1,1,TA,6,1,Attchd,1976,Unf,2,572,Y,100,110,0,0,0,0,NA,6,2007,WD,Normal,129900
25,NA,8246,Pave,Inside,Norm,Norm,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,CBlock,TA,TA,Mn,1060,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,1,Gd,6,1,Attchd,1968,Unf,1,270,Y,406,90,0,0,0,0,MnPrv,5,2010,WD,Normal,154000
26,110,14230,Pave,Corner,Norm,Norm,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,1566,GasA,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,1,Gd,7,1,Attchd,2007,RFn,3,890,Y,0,56,0,0,0,0,NA,7,2009,WD,Normal,256300
27,60,7200,Pave,Corner,Norm,Norm,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,Mn,900,GasA,TA,Y,SBrkr,900,0,0,900,0,1,1,1,Gd,5,0,Detchd,2005,Unf,2,576,Y,222,32,0,0,0,0,NA,5,2010,WD,Normal,134800
28,98,11478,Pave,Inside,Norm,Norm,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,No,1704,GasA,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,1,Gd,7,1,Attchd,2008,RFn,3,772,Y,0,50,0,0,0,0,NA,5,2010,WD,Normal,306000
29,47,16321,Pave,CulDSac,Norm,Norm,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,Gd,1484,GasA,TA,Y,SBrkr,1600,0,0,1600,1,0,1,1,TA,6,2,Attchd,1957,RFn,1,319,Y,288,258,0,0,0,0,NA,12,2006,WD,Normal,207500
30,60,6324,Pave,Inside,Feedr,RRNn,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,BrkTil,TA,TA,No,520,GasA,Fa,N,SBrkr,520,0,0,520,0,0,1,1,Fa,4,0,Detchd,1920,Unf,1,240,Y,49,0,87,0,0,0,NA,5,2008,WD,Normal,68500
31,50,8500,Pave,Inside,Feedr,Norm,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,BrkTil,TA,TA,No,649,GasA,TA,N,SBrkr,649,668,0,1317,0,0,1,1,TA,6,0,Detchd,1920,Unf,1,250,N,0,54,172,0,0,0,MnPrv,7,2008,WD,Normal,40000
32,NA,8544,Pave,CulDSac,Norm,Norm,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,1228,GasA,Gd,Y,SBrkr,1228,0,0,1228,0,0,1,1,Gd,6,0,Attchd,1966,Unf,1,271,Y,0,65,0,0,0,0,MnPrv,6,2008,WD,Normal,149350
33,85,11049,Pave,Corner,Norm,Norm,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Av,1234,GasA,Ex,Y,SBrkr,1234,0,0,1234,0,0,2,1,Gd,7,0,Attchd,2007,RFn,2,484,Y,0,30,0,0,0,0,NA,1,2008,WD,Normal,179900
34,70,10552,Pave,Inside,Norm,Norm,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,CBlock,TA,TA,No,1398,GasA,Gd,Y,SBrkr,1700,0,0,1700,0,1,1,1,Gd,6,1,Attchd,1959,RFn,2,447,Y,0,38,0,0,0,0,NA,4,2010,WD,Normal,165500
35,60,7313,Pave,Inside,Norm,Norm,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,PConc,Ex,TA,No,1561,GasA,Ex,Y,SBrkr,1561,0,0,1561,1,0,2,1,Ex,6,1,Attchd,2005,Fin,2,556,Y,203,47,0,0,0,0,NA,8,2007,WD,Normal,277500
36,108,13418,Pave,Inside,Norm,Norm,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Av,1117,GasA,Ex,Y,SBrkr,1132,1320,0,2452,0,0,3,1,Gd,9,1,BuiltIn,2004,Fin,3,691,Y,113,32,0,0,0,0,NA,9,2006,WD,Normal,309000
37,112,10859,Pave,Corner,Norm,Norm,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,1097,GasA,Ex,Y,SBrkr,1097,0,0,1097,0,0,1,1,TA,6,0,Attchd,1995,Unf,2,672,Y,392,64,0,0,0,0,NA,6,2009,WD,Normal,145000
38,74,8532,Pave,Inside,Norm,Norm,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,1297,GasA,Gd,Y,SBrkr,1297,0,0,1297,0,1,1,1,TA,5,1,Attchd,1954,Fin,2,498,Y,0,0,0,0,0,0,NA,10,2009,WD,Normal,153000
39,68,7922,Pave,Inside,Norm,Norm,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,CBlock,TA,TA,No,1057,GasA,TA,Y,SBrkr,1057,0,0,1057,1,0,1,1,Gd,5,0,Detchd,1953,Unf,1,246,Y,0,52,0,0,0,0,NA,1,2010,WD,Abnorml,109000
40,65,6040,Pave,Inside,Norm,Norm,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,PConc,NA,NA,NA,0,GasA,TA,N,FuseP,1152,0,0,1152,0,0,2,2,Fa,6,0,NA,NA,NA,0,0,N,0,0,0,0,0,0,NA,6,2008,WD,AdjLand,82000
41,84,8658,Pave,Inside,Norm,Norm,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,1088,GasA,Ex,Y,SBrkr,1324,0,0,1324,0,0,2,1,TA,6,1,Attchd,1965,RFn,2,440,Y,0,138,0,0,0,0,GdWo,12,2006,WD,Abnorml,160000
42,115,16905,Pave,Inside,Norm,Norm,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,CBlock,TA,TA,Gd,1350,GasA,Gd,Y,SBrkr,1328,0,0,1328,0,1,1,1,TA,5,2,Attchd,1959,RFn,1,308,P,0,104,0,0,0,0,NA,7,2007,WD,Normal,170000
43,NA,9180,Pave,CulDSac,Norm,Norm,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,CBlock,Gd,TA,Av,840,GasA,Gd,Y,SBrkr,884,0,0,884,1,0,1,1,Gd,5,0,Attchd,1983,RFn,2,504,Y,240,0,0,0,0,0,MnPrv,12,2007,WD,Normal,144000
44,NA,9200,Pave,CulDSac,Norm,Norm,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,CBlock,Gd,TA,Av,938,GasA,TA,Y,SBrkr,938,0,0,938,1,0,1,1,TA,5,0,Detchd,1977,Unf,1,308,Y,145,0,0,0,0,0,MnPrv,7,2008,WD,Normal,130250
45,70,7945,Pave,Inside,Norm,Norm,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,CBlock,TA,TA,No,1150,GasA,Ex,Y,FuseA,1150,0,0,1150,1,0,1,1,TA,6,0,Attchd,1959,RFn,1,300,Y,0,0,0,0,0,0,NA,5,2006,WD,Normal,141000
46,61,7658,Pave,Inside,Norm,Norm,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,PConc,Ex,TA,No,1752,GasA,Ex,Y,SBrkr,1752,0,0,1752,1,0,2,1,Ex,6,1,Attchd,2005,RFn,2,576,Y,196,82,0,0,0,0,NA,2,2010,WD,Normal,319900
47,48,12822,Pave,CulDSac,Norm,Norm,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,No,1434,GasA,Ex,Y,SBrkr,1518,631,0,2149,1,0,1,1,Gd,6,1,Attchd,2003,RFn,2,670,Y,168,43,0,0,198,0,NA,8,2009,WD,Abnorml,239686
48,84,11096,Pave,Inside,Norm,Norm,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,1656,GasA,Ex,Y,SBrkr,1656,0,0,1656,0,0,2,1,Gd,7,0,Attchd,2006,RFn,3,826,Y,0,146,0,0,0,0,NA,7,2007,WD,Normal,249700
49,33,4456,Pave,Inside,Norm,Norm,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,BrkTil,TA,TA,No,736,GasA,Gd,Y,SBrkr,736,716,0,1452,0,0,2,3,TA,8,0,NA,NA,NA,0,0,N,0,0,102,0,0,0,NA,6,2009,New,Partial,113000
50,66,7742,Pave,Inside,Norm,Norm,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,955,GasA,Ex,Y,SBrkr,955,0,0,955,1,0,1,1,TA,6,0,Attchd,1966,Unf,1,386,Y,0,0,0,0,0,0,MnPrv,1,2007,WD,Normal,127000
51,NA,13869,Pave,Corner,Norm,Norm,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,794,GasA,Gd,Y,SBrkr,794,676,0,1470,0,1,2,1,TA,6,0,Attchd,1997,Fin,2,388,Y,0,75,0,0,0,0,NA,7,2007,WD,Normal,177000
52,52,6240,Pave,Inside,Norm,Norm,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,PConc,TA,TA,No,816,GasA,TA,Y,SBrkr,816,0,360,1176,0,0,1,1,TA,6,1,Detchd,1985,Unf,2,528,Y,112,0,0,0,0,0,MnPrv,9,2006,WD,Normal,114500
53,110,8472,Grvl,Corner,RRNn,Norm,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,Gd,TA,Gd,816,GasA,TA,N,SBrkr,816,0,0,816,1,0,1,1,TA,5,0,CarPort,1963,Unf,2,516,Y,106,0,0,0,0,0,NA,5,2010,WD,Normal,110000
54,68,50271,Pave,Inside,Norm,Norm,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,CBlock,Ex,TA,Gd,1842,GasA,Gd,Y,SBrkr,1842,0,0,1842,2,0,0,1,Gd,5,1,Attchd,1981,Fin,3,894,Y,857,72,0,0,0,0,NA,11,2006,WD,Normal,385000
55,60,7134,Pave,Inside,Norm,Norm,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,384,GasA,TA,Y,SBrkr,1360,0,0,1360,0,0,1,1,TA,6,1,Detchd,1962,Unf,2,572,Y,0,50,0,0,0,0,MnPrv,2,2007,WD,Normal,130000
56,100,10175,Pave,Inside,Norm,Norm,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,CBlock,TA,TA,No,1425,GasA,Gd,Y,SBrkr,1425,0,0,1425,0,0,2,1,TA,7,1,Attchd,1964,RFn,2,576,Y,0,0,0,407,0,0,NA,7,2008,WD,Normal,180500
57,24,2645,Pave,Inside,Norm,Norm,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,PConc,Gd,TA,No,970,GasA,Ex,Y,SBrkr,983,756,0,1739,1,0,2,1,Gd,7,0,Attchd,1999,Fin,2,480,Y,115,0,0,0,0,0,NA,8,2009,WD,Abnorml,172500
58,89,11645,Pave,Corner,Norm,Norm,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,860,GasA,Ex,Y,SBrkr,860,860,0,1720,0,0,2,1,Gd,7,0,Attchd,2004,RFn,2,565,Y,0,70,0,0,0,0,NA,8,2006,WD,Normal,196500
59,66,13682,Pave,CulDSac,Norm,Norm,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Gd,1410,GasA,Ex,Y,SBrkr,1426,1519,0,2945,0,0,3,1,Gd,10,1,BuiltIn,2006,Fin,3,641,Y,192,0,37,0,0,0,NA,10,2006,New,Partial,438780
60,60,7200,Pave,Inside,Norm,Norm,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,Av,780,GasA,Ex,Y,SBrkr,780,0,0,780,0,0,1,1,TA,4,0,Detchd,1973,Unf,1,352,Y,196,0,0,0,0,0,MnPrv,1,2008,WD,Normal,124900
61,63,13072,Pave,Inside,RRAe,Norm,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,1158,GasA,Ex,Y,SBrkr,1158,0,0,1158,1,0,1,1,Gd,5,0,Detchd,2006,Unf,2,576,Y,0,50,0,0,0,0,NA,5,2006,New,Partial,158000
62,60,7200,Pave,Inside,Norm,Norm,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,BrkTil,TA,Fa,No,530,GasA,TA,N,SBrkr,581,530,0,1111,0,0,1,1,Fa,6,0,Detchd,1935,Unf,1,288,N,0,0,144,0,0,0,NA,3,2007,WD,Normal,101000
63,44,6442,Pave,Inside,Norm,Norm,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,Gd,Mn,1370,GasA,Ex,Y,SBrkr,1370,0,0,1370,0,0,2,1,Gd,6,1,Attchd,2006,RFn,2,484,Y,120,49,0,0,0,0,NA,10,2007,WD,Normal,202500
64,50,10300,Pave,Inside,RRAn,Feedr,2Story,7,6,1921,1950,Gable,CompShg,Stucco,Stucco,BrkTil,TA,TA,No,576,GasA,Gd,Y,SBrkr,902,808,0,1710,0,0,2,1,TA,9,0,Detchd,1990,Unf,2,480,Y,12,11,64,0,0,0,GdPrv,4,2010,WD,Normal,140000
65,NA,9375,Pave,Inside,Norm,Norm,2Story,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,1057,GasA,Ex,Y,SBrkr,1057,977,0,2034,1,0,2,1,Gd,8,0,Attchd,1998,RFn,2,645,Y,576,36,0,0,0,0,GdPrv,2,2009,WD,Normal,219500
66,76,9591,Pave,Inside,Norm,Norm,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Av,1143,GasA,Ex,Y,SBrkr,1143,1330,0,2473,0,0,2,1,Gd,9,1,BuiltIn,2004,RFn,3,852,Y,192,151,0,0,0,0,NA,10,2007,WD,Normal,317000
67,NA,19900,Pave,Inside,PosA,Norm,1Story,7,5,1970,1989,Gable,CompShg,Plywood,Plywood,CBlock,Gd,TA,Gd,1947,GasA,TA,Y,SBrkr,2207,0,0,2207,1,0,2,1,TA,7,1,Attchd,1970,RFn,2,576,Y,301,0,0,0,0,0,NA,7,2010,WD,Normal,180000
68,72,10665,Pave,Inside,Norm,Norm,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,1453,GasA,Ex,Y,SBrkr,1479,0,0,1479,1,0,2,1,Gd,7,0,Attchd,2003,RFn,2,558,Y,144,29,0,0,0,0,NA,6,2007,WD,Normal,226000
69,47,4608,Pave,Corner,Artery,Norm,1Story,4,6,1945,1950,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,747,GasA,TA,Y,SBrkr,747,0,0,747,0,0,1,1,TA,4,0,Attchd,1945,Unf,1,220,Y,0,0,0,0,0,0,NA,6,2010,WD,Normal,80000
70,81,15593,Pave,Corner,Norm,Norm,1.5Fin,7,4,1953,1953,Gable,CompShg,BrkFace,AsbShng,CBlock,TA,TA,No,1304,GasW,TA,Y,SBrkr,1304,983,0,2287,0,0,2,1,TA,7,1,Attchd,1953,Fin,2,667,Y,0,21,114,0,0,0,NA,7,2006,WD,Normal,225000
71,95,13651,Pave,Inside,Norm,Norm,1Story,7,6,1973,1973,Gable,CompShg,Plywood,Plywood,CBlock,Gd,TA,Gd,2223,GasA,Ex,Y,SBrkr,2223,0,0,2223,1,0,2,1,TA,8,2,Attchd,1973,Fin,2,516,Y,300,0,0,0,0,0,NA,2,2007,WD,Normal,244000
72,69,7599,Pave,Corner,Norm,Norm,1Story,4,6,1982,2006,Gable,CompShg,HdBoard,Plywood,CBlock,TA,TA,No,845,GasA,TA,Y,SBrkr,845,0,0,845,1,0,1,1,TA,4,0,Detchd,1987,Unf,2,360,Y,0,0,0,0,0,0,NA,6,2007,WD,Normal,129500
73,74,10141,Pave,Corner,Norm,Norm,2Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,832,GasA,Gd,Y,SBrkr,885,833,0,1718,0,0,2,1,TA,7,1,Attchd,1998,Fin,2,427,Y,0,94,0,0,291,0,NA,12,2009,WD,Normal,185000
74,85,10200,Pave,Inside,Norm,Norm,1Story,5,7,1954,2003,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,1086,GasA,Gd,Y,SBrkr,1086,0,0,1086,1,0,1,1,TA,6,0,Attchd,1989,Unf,2,490,Y,0,0,0,0,0,0,GdWo,5,2010,WD,Normal,144900
75,60,5790,Pave,Corner,Norm,Norm,2Story,3,6,1915,1950,Gambrel,CompShg,VinylSd,VinylSd,CBlock,Fa,TA,No,840,GasA,Gd,N,SBrkr,840,765,0,1605,0,0,2,2,TA,8,0,Detchd,1915,Unf,1,379,Y,0,0,202,0,0,0,NA,5,2010,WD,Normal,107400
76,21,1596,Pave,Inside,Norm,Norm,SLvl,4,5,1973,1973,Gable,CompShg,CemntBd,CmentBd,CBlock,Gd,TA,Gd,462,GasA,TA,Y,SBrkr,526,462,0,988,1,0,1,1,TA,5,0,BuiltIn,1973,Unf,1,297,Y,120,101,0,0,0,0,GdWo,11,2009,WD,Normal,91000
77,NA,8475,Pave,Inside,Norm,Norm,1Story,4,7,1956,1956,Gable,CompShg,VinylSd,VinylSd,CBlock,TA,TA,No,952,GasA,Ex,Y,FuseA,952,0,0,952,0,0,1,1,TA,4,0,Detchd,1956,Unf,1,283,Y,0,0,0,0,0,0,NA,4,2008,WD,Normal,135750
78,50,8635,Pave,Inside,Norm,Norm,1.5Fin,5,5,1948,2001,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,672,GasA,TA,Y,SBrkr,1072,213,0,1285,1,0,1,1,TA,6,0,Detchd,1948,Unf,1,240,Y,0,0,0,0,0,0,MnPrv,1,2008,WD,Normal,127000
79,72,10778,Pave,Inside,Norm,Norm,1Story,4,5,1968,1968,Hip,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,1768,GasA,TA,N,SBrkr,1768,0,0,1768,0,0,2,2,TA,8,0,NA,NA,NA,0,0,Y,0,0,0,0,0,0,NA,4,2010,WD,Normal,136500
